word_labels,sentence,biased_words,biased_labels,masked_sentence
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Storesupport canada is growing and we are looking for more efficient  ; independent consultants to fill jobs in all major city centres throughout .,Storesupport,Behavioural Stereotypes,<mask> canada is growing and we are looking for more efficient ; independent consultants to fill jobs in all major city centres throughout .
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O","Driven by successful marketing and revenue generating campaigns, we are waiting for a social media expert with excellent communication, judgement and analytical skills.",Driven analytical skills.,"Behavioural Stereotypes, Behavioural Stereotypes, i-Behavioural Stereotypes","Driven by successful marketing and revenue generating campaigns, we are waiting for a social media expert with excellent communication, judgement and analytical skills."
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The farmer drove the attendant to the railway station and gave him a gift.,him,Generic he,The farmer drove the attendant to the railway station and gave him a gift.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The developer talked to the cashier and then invited him to a cup of coffee.,him,Generic he,The developer talked to the cashier and then invited him to a cup of coffee.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",you are looking for  highly skilled organized and experienced candidates to join our fast-growing team.,,,you are looking for  highly skilled organized and experienced candidates to join our fast-growing team.
"Generic he,O,O,O,O,O,O,O,O,O,O,","He enjoys working with people who are upbeat, accommodating and empathetic.",He,Generic he,"He enjoys working with people who are upbeat, accommodating and empathetic."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Wedding stylists are men.,Wedding stylists are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Wedding stylists are men.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The challenge is getting in front of a car maker at a particular Dealership.,,,The challenge is getting in front of a car maker at a particular Dealership.
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The lawyer looked into illegal accusations against the cashier and helped him to win the case.,him,Generic he,The lawyer looked into illegal accusations against the cashier and helped him to win the case.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The agency is mandated to lead and coordinate internationalaction to protect refugees and resolve refugee problems worldwide.,,,The agency is mandated to lead and coordinate internationalaction to protect refugees and resolve refugee problems worldwide.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",they encourage young people to earn their money responsibly by following good financial advice from an early .,,,they encourage young people to earn their money responsibly by following good financial advice from an early .
"O,O,O,O,O,O,O,O,O,Generic she,O,",The counselor disliked the supervisor and wanted to leave her group.,her,Generic she,The counselor disliked the supervisor and wanted to leave her group.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The construction worker coordinated with the designer so that he can explain better the design.,he,Generic he,The construction worker coordinated with the designer so that he can explain better the design.
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Demonstrates social responsibility and support for their own practice and reflects the company's philosophy of nursing.,responsibility,Behavioural Stereotypes,Demonstrates social responsibility and support for their own practice and reflects the company's philosophy of nursing.
"O,O,O,O,O,O,O,O,O,O,O,O,O",Analyze and research issues to assist in support of our production environment(s).,,,Analyze and research issues to assist in support of our production environment(s).
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Habitat Armenia is committed to providing housing solutionsfor families in need of a safe, decent and affordable place to live andthrive.",,,"Habitat Armenia is committed to providing housing solutionsfor families in need of a safe, decent and affordable place to live andthrive."
"O,O,O,O,Generic she,O,O,",A dancer should watch her diet carefully.,her,Generic she,A dancer should watch her diet carefully.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",StudyHall's mission is simple: to connect students and companies with new opportunities to get projects and tasks done.,,,StudyHall's mission is simple: to connect students and companies with new opportunities to get projects and tasks done.
"O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O",Previous significant experience within a similar B2B media role/ previous manmanagement experience .,manmanagement,Explicit Marking of Sex,Previous significant experience within a similar B2B media role/ previous <mask> experience .
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The construction worker thanked the cleaner and rewarded him for superior cleaning services.,him,Generic he,The construction worker thanked the cleaner and rewarded him for superior cleaning services.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The role will involve but certainly not be limited to the following:  Office admin    Provide first point of contact for office visitors and deliveries:    Look after visitors and make them feel welcome  Notify relevant person visitor(s) have arrived  Sign for deliveries      Organise couriers and post - distribution, filing, sorting etc  Manage office affairs (i.e. Order Stationery, organize office events, office furniture, book meeting rooms etc)  Liaise with the landlord (i.e. report and fix issues reporting to heating, lights, water, security etc)  Liaise and manage process with HR  ; IT on new staff onboarding, equipment requirements, set up etc    Support for other Stylistpick teams (Customer Service, PR, Buying, Finance, Operations etc)    Work in Customer Service team, dealing with phone calls, emails and order investigation at peak times (on average 1-2 days per week)  Assist PR department with press orders  Assist Buying and Production teams with coordination of samples and photography processes  Assist Finance team with basic bookkeeping  Deal with office health and safety    We value dedication, enthusiasm, and results-orientation.",,,"The role will involve but certainly not be limited to the following:  Office admin    Provide first point of contact for office visitors and deliveries:    Look after visitors and make them feel welcome  Notify relevant person visitor(s) have arrived  Sign for deliveries      Organise couriers and post - distribution, filing, sorting etc  Manage office affairs (i.e. Order Stationery, organize office events, office furniture, book meeting rooms etc)  Liaise with the landlord (i.e. report and fix issues reporting to heating, lights, water, security etc)  Liaise and manage process with HR  ; IT on new staff onboarding, equipment requirements, set up etc    Support for other Stylistpick teams (Customer Service, PR, Buying, Finance, Operations etc)    Work in Customer Service team, dealing with phone calls, emails and order investigation at peak times (on average 1-2 days per week)  Assist PR department with press orders  Assist Buying and Production teams with coordination of samples and photography processes  Assist Finance team with basic bookkeeping  Deal with office health and safety    We value dedication, enthusiasm, and results-orientation."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","we will be developing our own cutting edge technology that supports our client’s needs and powers beautiful, intuitive websites.",,,"we will be developing our own cutting edge technology that supports our client’s needs and powers beautiful, intuitive websites."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O",i will offer updates on the materials and products we sell to better equip you to confidently offer solutions to customer needs on the first floor.,confidently,Behavioural Stereotypes,i will offer updates on the materials and products we sell to better equip you to confidently offer solutions to customer needs on the first floor.
"O,O,O,O,O,O,O",All communication will be treated confidentially.,,,All communication will be treated confidentially.
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,",The physician wanted to meet with the counselor and ask him how to deal with the medical accident.,him,Generic he,The physician wanted to meet with the counselor and ask him how to deal with the medical accident.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Our ideal candidate is able to display an in-depth understanding of hierarchy of information, composition, color relationships and interface workflows in their portfolio.",,,"Our ideal candidate is able to display an in-depth understanding of hierarchy of information, composition, color relationships and interface workflows in their portfolio."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Nurses are men.,Nurses are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Nurses are men.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The janitor asks the receptionist where to go because he knows this building much better.,he,Generic he,The janitor asks the receptionist where to go because he knows this building much better.
"O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The cleaner contacted the carpenter and asked her to fix a wood cabinet.,her,Generic she,The cleaner contacted the carpenter and asked her to fix a wood cabinet.
"Generic he,O,O,O,O,O,O,O,O,O,O,O,O,","He should be willing for hardcore field work, Should have customer centric approach.",He,Generic he,"He should be willing for hardcore field work, Should have customer centric approach."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Upgrade and configure system software that supports infrastructure applications or Asset Management applications per project or operational needs.,,,Upgrade and configure system software that supports infrastructure applications or Asset Management applications per project or operational needs.
"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The clerk told the janitor to clean up the meeting room and thanked her.,her.,Generic she,The clerk told the janitor to clean up the meeting room and thanked her.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Writers are women.,Writers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Writers are women.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",effective instructional methods to improve classroom teaching practices are implemented as to support student growth and learning.,,,effective instructional methods to improve classroom teaching practices are implemented as to support student growth and learning.
